CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PURCHASES_FREQUENCY,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,PRC_FULL_PAYMENT,TENURE
C10579,194.49,1.00,1174.76,0.00,1174.76,0.00,1.00,0.00,1.00,0.00,0.00,41.00,4500.00,1280.29,203.76,0.00,12.00
C10580,3294.38,1.00,0.00,0.00,0.00,2546.89,0.00,0.00,0.00,0.08,3.00,0.00,4000.00,1084.06,1228.29,0.00,12.00
C10581,5404.20,1.00,469.00,286.00,183.00,8005.23,0.67,0.17,0.33,0.83,52.00,4.00,7000.00,2676.47,1468.48,0.00,6.00
C10582,5484.80,1.00,0.00,0.00,0.00,1239.22,0.00,0.00,0.00,0.67,8.00,0.00,6000.00,2060.02,1306.96,0.00,12.00
C10583,181.46,1.00,133.39,133.39,0.00,219.14,0.25,0.25,0.00,0.17,2.00,3.00,2500.00,168.43,169.47,0.00,12.00
C10584,1311.73,1.00,10700.63,2912.65,7787.98,0.00,0.92,0.50,1.00,0.00,0.00,222.00,6000.00,9853.31,280.01,0.82,12.00
C10585,542.22,1.00,0.00,0.00,0.00,1074.74,0.00,0.00,0.00,0.17,2.00,0.00,1500.00,1328.86,189.53,0.00,12.00
C10586,1029.10,1.00,49.10,0.00,49.10,0.00,0.25,0.00,0.25,0.00,0.00,3.00,1000.00,59.92,8269.96,0.00,12.00
C10587,1202.98,1.00,11313.77,10133.70,1180.07,0.00,1.00,1.00,0.83,0.00,0.00,98.00,6000.00,10718.04,281.61,0.83,12.00
C10588,1095.38,1.00,0.00,0.00,0.00,282.90,0.00,0.00,0.00,0.25,3.00,0.00,1200.00,432.05,256.49,0.00,12.00
C10589,4546.77,1.00,3525.37,0.00,3525.37,0.00,1.00,0.00,1.00,0.00,0.00,66.00,15000.00,14083.97,1442.93,0.25,12.00
C10590,28.93,0.91,258.74,258.74,0.00,0.00,0.67,0.67,0.00,0.00,0.00,16.00,12000.00,502.49,105.03,1.00,12.00
C10591,3457.09,1.00,2448.60,0.00,2448.60,0.00,1.00,0.00,1.00,0.00,0.00,12.00,1700.00,227.51,38512.12,0.00,12.00
C10592,23.29,0.73,293.99,194.99,99.00,0.00,0.50,0.25,0.17,0.00,0.00,6.00,12500.00,287.80,93.03,0.33,12.00
C10593,9559.78,1.00,709.00,709.00,0.00,771.71,0.30,0.30,0.00,0.30,3.00,3.00,10500.00,2447.23,2042.09,0.00,10.00
C10594,2154.18,1.00,1628.07,1628.07,0.00,0.00,0.33,0.33,0.00,0.00,0.00,8.00,5000.00,654.51,507.66,0.00,12.00
C10595,2627.18,1.00,0.00,0.00,0.00,3216.19,0.00,0.00,0.00,0.08,7.00,0.00,3150.00,394.29,10636.15,0.00,12.00
C10596,2689.59,1.00,0.00,0.00,0.00,2224.69,0.00,0.00,0.00,0.08,1.00,0.00,7000.00,809.88,663.36,0.00,12.00
C10597,11.89,0.09,165.00,165.00,0.00,0.00,0.08,0.08,0.00,0.00,0.00,1.00,15000.00,0.00,,0.00,12.00
C10598,3452.54,1.00,11681.64,11681.64,0.00,0.00,1.00,1.00,0.00,0.00,0.00,141.00,10500.00,8145.71,1198.61,0.00,12.00
C10599,1068.03,0.73,98.97,0.00,98.97,0.00,0.42,0.00,0.42,0.00,0.00,5.00,2500.00,3594.99,445.22,0.00,12.00
C10600,7295.92,1.00,0.00,0.00,0.00,721.21,0.00,0.00,0.00,0.25,4.00,0.00,7500.00,1984.35,3082.80,0.00,12.00
C10601,7975.19,1.00,1142.15,1017.65,124.50,2652.12,0.50,0.33,0.25,0.25,3.00,10.00,9000.00,2079.52,2902.19,0.00,12.00
C10602,1866.61,1.00,1494.50,1494.50,0.00,0.00,0.42,0.42,0.00,0.00,0.00,8.00,8500.00,2031.59,462.42,0.00,12.00
C10603,259.47,0.91,646.24,646.24,0.00,0.00,0.08,0.08,0.00,0.00,0.00,1.00,10000.00,540.02,183.09,0.00,12.00
C10604,1298.19,1.00,0.00,0.00,0.00,2052.84,0.00,0.00,0.00,0.33,9.00,0.00,3500.00,3009.93,505.97,0.08,12.00
C10605,313.39,1.00,3608.88,2124.75,1484.13,0.00,1.00,0.75,0.75,0.00,0.00,37.00,15000.00,2419.65,182.53,1.00,12.00
C10606,7088.36,1.00,0.00,0.00,0.00,3118.05,0.00,0.00,0.00,0.08,2.00,0.00,7500.00,4539.53,2183.32,0.00,12.00
C10607,4458.05,1.00,0.00,0.00,0.00,2846.03,0.00,0.00,0.00,0.17,6.00,0.00,5000.00,985.52,1708.14,0.00,12.00
C10608,2690.77,1.00,12465.21,9805.73,2659.48,0.00,1.00,0.58,1.00,0.00,0.00,79.00,13000.00,9290.70,653.19,0.00,12.00
C10609,15244.75,1.00,7823.74,7564.81,258.93,2621.05,1.00,1.00,1.00,0.08,2.00,62.00,19000.00,11123.41,4467.52,0.00,12.00
C10610,0.33,0.45,24.64,24.64,0.00,0.00,0.08,0.08,0.00,0.00,0.00,1.00,1800.00,45.64,26.85,0.00,12.00
C10611,2492.73,1.00,27957.68,23032.97,4924.71,0.00,1.00,1.00,0.92,0.00,0.00,70.00,9000.00,27255.01,537.37,1.00,12.00
C10612,47.42,0.55,372.00,273.60,98.40,0.00,0.33,0.17,0.25,0.00,0.00,7.00,4000.00,662.40,149.47,0.20,12.00
C10613,4114.72,1.00,1841.62,1456.94,384.68,4004.27,1.00,1.00,0.25,0.42,8.00,21.00,7500.00,7780.32,950.50,0.00,12.00
C10615,2450.03,1.00,1678.07,824.21,853.86,0.00,1.00,0.25,1.00,0.00,0.00,33.00,6500.00,682.93,512.07,0.00,12.00
C10616,8781.83,1.00,11674.64,9400.96,2273.68,0.00,1.00,1.00,0.92,0.00,0.00,93.00,16000.00,10377.36,2372.97,0.00,12.00
C10617,1642.02,1.00,2094.38,2094.38,0.00,0.00,0.42,0.42,0.00,0.00,0.00,17.00,4500.00,576.70,556.38,0.00,12.00
C10618,2739.84,0.91,0.00,0.00,0.00,2970.29,0.00,0.00,0.00,0.36,5.00,0.00,3000.00,3418.07,1384.88,0.00,11.00
C10619,1946.45,1.00,411.38,411.38,0.00,99.08,0.25,0.25,0.00,0.08,1.00,5.00,2500.00,1403.27,513.55,0.00,12.00
C10620,9.96,0.55,99.19,0.00,99.19,0.00,0.50,0.00,0.50,0.00,0.00,7.00,4000.00,209.01,147.34,0.17,12.00
C10621,394.27,0.36,525.00,525.00,0.00,2003.83,0.08,0.08,0.00,0.25,12.00,1.00,2500.00,3747.37,82.63,0.00,12.00
C10622,5935.92,1.00,1956.06,1777.14,178.92,0.00,0.92,0.92,0.33,0.00,0.00,48.00,11500.00,1553.15,1338.08,0.00,12.00
C10623,266.59,1.00,1750.51,1515.46,235.05,239.19,1.00,1.00,0.17,0.17,2.00,31.00,3500.00,2103.25,193.90,0.25,12.00
C10624,917.73,1.00,18.41,0.00,18.41,0.00,0.08,0.00,0.08,0.00,0.00,1.00,1000.00,1407.29,424.62,0.00,12.00
C10625,3183.53,1.00,386.12,386.12,0.00,3715.64,0.64,0.64,0.00,0.36,7.00,9.00,4000.00,4441.19,752.31,0.00,11.00
C10626,2071.74,0.91,0.00,0.00,0.00,199.21,0.00,0.00,0.00,0.36,4.00,0.00,2100.00,553.00,570.23,0.00,11.00
C10627,6980.58,1.00,0.00,0.00,0.00,11549.11,0.00,0.00,0.00,0.42,15.00,0.00,14500.00,1498.34,1536.15,0.00,12.00
C10628,724.26,1.00,625.46,198.40,427.06,0.00,0.58,0.17,0.50,0.00,0.00,10.00,7500.00,721.08,234.28,0.00,12.00
C10629,2469.67,1.00,963.13,963.13,0.00,0.00,0.67,0.67,0.00,0.00,0.00,16.00,7000.00,566.87,639.52,0.00,12.00
C10630,202.19,0.55,2011.81,2011.81,0.00,0.00,0.42,0.42,0.00,0.00,0.00,8.00,2100.00,3144.54,165.07,0.80,12.00
C10631,6787.66,1.00,99.50,0.00,99.50,7726.51,0.83,0.00,0.75,0.42,10.00,10.00,8000.00,1775.14,2293.58,0.00,12.00
C10632,107.30,0.64,1084.09,0.00,1084.09,0.00,0.67,0.00,0.67,0.00,0.00,9.00,8000.00,1515.63,152.09,0.71,12.00
C10633,3946.88,1.00,207.00,0.00,207.00,1546.73,0.92,0.00,0.92,0.50,11.00,11.00,8500.00,1494.10,886.54,0.00,12.00
C10634,1246.39,1.00,1757.47,907.05,850.42,0.00,1.00,0.42,1.00,0.00,0.00,80.00,5000.00,1254.38,309.54,0.00,12.00
C10635,7155.33,1.00,3837.59,1860.18,1977.41,14811.69,1.00,0.92,1.00,0.92,51.00,52.00,9500.00,17739.95,2500.58,0.00,12.00
C10636,2147.94,0.82,117.57,117.57,0.00,1022.23,0.08,0.08,0.00,0.08,2.00,2.00,8000.00,5441.88,542.30,0.10,12.00
C10637,32.61,1.00,1223.41,769.41,454.00,0.00,1.00,1.00,0.92,0.00,0.00,25.00,6000.00,1222.34,129.30,0.80,12.00
C10638,5380.80,1.00,1710.24,817.32,892.92,2292.80,1.00,0.42,1.00,0.25,6.00,43.00,6000.00,1572.99,3215.77,0.00,12.00
C10639,3419.66,1.00,11.06,11.06,0.00,1261.35,0.08,0.08,0.00,0.08,1.00,1.00,4000.00,745.98,1243.56,0.00,12.00
C10640,8900.19,1.00,0.00,0.00,0.00,4849.69,0.00,0.00,0.00,0.92,52.00,0.00,12000.00,2430.86,2452.88,0.00,12.00
C10641,837.95,1.00,8273.18,2904.89,5368.29,0.00,1.00,1.00,1.00,0.00,0.00,53.00,7000.00,7883.62,208.07,1.00,12.00
C10642,2113.10,1.00,619.93,0.00,619.93,1958.67,1.00,0.00,0.92,0.08,2.00,24.00,4000.00,529.83,508.78,0.00,12.00
C10643,16.37,0.30,190.00,0.00,190.00,0.00,0.20,0.00,0.20,0.00,0.00,3.00,4000.00,322.11,139.67,0.50,10.00
C10644,3774.06,1.00,7680.08,5050.97,2629.11,0.00,1.00,0.58,1.00,0.00,0.00,64.00,11500.00,2529.09,1256.20,0.00,12.00
C10645,1088.03,1.00,9734.63,3756.01,5978.62,0.00,1.00,1.00,1.00,0.00,0.00,194.00,8500.00,8571.95,204.76,0.08,12.00
C10646,2.18,0.45,0.00,0.00,0.00,136.66,0.00,0.00,0.00,0.08,1.00,0.00,3000.00,278.73,56.69,0.20,12.00
C10647,5248.39,1.00,8403.17,7469.70,933.47,3141.10,0.83,0.67,0.75,0.50,12.00,117.00,13000.00,8495.97,1183.07,0.25,12.00
C10648,9.58,1.00,118.60,70.00,48.60,0.00,1.00,0.08,0.92,0.00,0.00,25.00,3300.00,117.78,56.50,0.10,12.00
C10649,3123.34,1.00,11202.09,10929.53,272.56,0.00,1.00,1.00,0.58,0.00,0.00,100.00,7500.00,8317.16,887.50,0.08,12.00
C10650,1670.93,1.00,794.52,794.52,0.00,0.00,0.67,0.67,0.00,0.00,0.00,16.00,1750.00,1083.63,1196.30,0.00,12.00
C10651,537.39,0.90,1704.22,150.50,1553.72,0.00,0.90,0.20,0.80,0.00,0.00,16.00,1500.00,679.89,160.59,0.13,10.00
C10652,1803.96,1.00,1044.43,801.35,243.08,103.17,0.67,0.42,0.33,0.08,1.00,23.00,5000.00,1068.81,518.00,0.00,12.00
C10653,2394.13,1.00,3651.59,1544.79,2106.80,2420.91,1.00,0.83,1.00,0.17,11.00,111.00,4500.00,6925.34,1646.77,0.08,12.00
C10654,544.88,1.00,6477.60,3301.60,3176.00,0.00,1.00,1.00,0.92,0.00,0.00,83.00,7500.00,6381.24,235.66,0.83,12.00
C10655,288.47,1.00,1025.03,0.00,1025.03,0.00,1.00,0.00,1.00,0.00,0.00,67.00,2800.00,1148.41,183.18,0.08,12.00
C10656,1434.10,1.00,0.00,0.00,0.00,1866.84,0.00,0.00,0.00,0.08,2.00,0.00,2400.00,2361.93,390.20,0.00,12.00
C10657,79.55,0.64,472.71,472.71,0.00,0.00,0.08,0.08,0.00,0.00,0.00,1.00,16000.00,563.83,108.58,0.00,12.00
C10658,2134.51,1.00,733.35,78.60,654.75,5716.15,0.82,0.18,0.82,0.18,7.00,11.00,3000.00,6801.93,1017.64,0.09,11.00
C10659,4925.50,1.00,3050.72,989.14,2061.58,10901.30,0.58,0.33,0.33,0.42,24.00,16.00,11500.00,21320.90,3913.71,0.17,12.00
C10660,62.32,0.64,601.35,468.00,133.35,0.00,0.42,0.33,0.33,0.00,0.00,10.00,7000.00,704.08,161.42,0.25,12.00
C10661,1062.75,1.00,0.00,0.00,0.00,496.76,0.00,0.00,0.00,0.17,3.00,0.00,1200.00,720.34,369.57,0.00,12.00
C10662,5347.38,0.55,0.00,0.00,0.00,9671.34,0.00,0.00,0.00,0.08,1.00,0.00,10500.00,3239.30,3614.80,0.00,12.00
C10663,8.56,1.00,0.00,0.00,0.00,75.61,0.00,0.00,0.00,0.08,1.00,0.00,5000.00,74.22,96.14,0.00,12.00
C10665,164.65,1.00,1764.86,1149.34,615.52,0.00,1.00,0.67,0.92,0.00,0.00,21.00,10000.00,1768.46,212.74,1.00,12.00
C10666,299.77,1.00,2352.20,1136.70,1215.50,0.00,0.92,0.67,0.75,0.00,0.00,30.00,6500.00,2671.28,185.47,0.25,12.00
C10667,3725.64,1.00,0.00,0.00,0.00,516.03,0.00,0.00,0.00,0.67,9.00,0.00,4000.00,1221.27,1537.26,0.00,12.00
C10668,306.88,1.00,3877.85,2183.56,1694.29,0.00,0.92,0.67,0.75,0.00,0.00,29.00,12500.00,3639.44,205.02,1.00,12.00
C10669,14411.96,1.00,5958.17,3161.46,2796.71,0.00,1.00,0.58,1.00,0.00,0.00,98.00,15000.00,7839.75,8096.80,0.00,12.00
C10670,1759.97,1.00,5969.33,3755.24,2214.09,1777.02,1.00,1.00,1.00,0.25,4.00,92.00,16500.00,7273.00,445.13,0.25,12.00
C10671,1482.24,1.00,14604.87,2475.93,12128.94,0.00,1.00,0.58,1.00,0.00,0.00,219.00,15500.00,14462.63,340.72,1.00,12.00
C10672,6014.81,1.00,433.63,433.63,0.00,2433.99,0.25,0.25,0.00,0.58,13.00,5.00,7000.00,1534.76,1663.46,0.00,12.00
C10673,5619.16,1.00,2790.76,2549.25,241.51,0.00,1.00,1.00,0.33,0.00,0.00,36.00,14000.00,1778.28,1355.65,0.00,12.00
C10674,365.12,1.00,571.32,0.00,571.32,4961.01,0.50,0.00,0.33,0.42,14.00,3.00,4000.00,5308.49,216.48,0.45,12.00
C10675,1728.08,1.00,0.00,0.00,0.00,1662.82,0.00,0.00,0.00,0.17,4.00,0.00,1800.00,141.51,10592.54,0.00,12.00
C10676,1043.25,1.00,281.25,0.00,281.25,1361.25,1.00,0.00,0.89,0.44,4.00,9.00,1200.00,634.97,965.13,0.00,9.00
C10677,2571.93,1.00,1701.90,464.90,1237.00,1089.06,1.00,0.25,1.00,0.33,5.00,55.00,3000.00,710.21,684.95,0.00,12.00
C10678,7760.53,1.00,14332.92,10588.97,3743.95,0.00,1.00,0.91,0.91,0.00,0.00,152.00,16000.00,7116.53,2117.19,0.00,11.00
C10679,61.64,0.36,490.60,0.00,490.60,0.00,0.27,0.00,0.27,0.00,0.00,3.00,18000.00,1197.35,131.20,1.00,11.00
C10680,0.00,0.00,0.00,0.00,0.00,310.89,0.00,0.00,0.00,0.08,1.00,0.00,9000.00,0.00,,0.00,12.00
C10681,1724.20,1.00,8371.19,4192.80,4178.39,959.95,1.00,0.50,1.00,0.08,1.00,87.00,3800.00,9582.78,1805.37,0.25,12.00
C10682,558.99,0.82,4552.44,1234.00,3318.44,0.00,0.75,0.17,0.58,0.00,0.00,15.00,5000.00,5496.34,173.93,1.00,12.00
C10683,15.73,0.27,202.00,202.00,0.00,0.00,0.17,0.17,0.00,0.00,0.00,2.00,2000.00,200.17,43.91,0.00,12.00
C10684,3808.07,0.91,6030.34,2874.89,3155.45,7279.88,1.00,0.50,1.00,0.50,62.00,104.00,7000.00,17084.85,2068.25,0.09,12.00
C10685,28.39,0.18,379.30,0.00,379.30,0.00,0.17,0.00,0.17,0.00,0.00,6.00,2500.00,534.82,28.99,0.18,12.00
C10686,2515.97,1.00,1877.24,926.90,950.34,0.00,0.17,0.17,0.08,0.00,0.00,29.00,8500.00,4503.08,810.91,0.08,12.00
C10688,408.07,1.00,3660.97,3660.97,0.00,0.00,1.00,1.00,0.00,0.00,0.00,33.00,7500.00,4471.04,188.41,0.67,12.00
C10689,975.17,1.00,2281.56,2281.56,0.00,98.60,0.92,0.92,0.00,0.17,2.00,29.00,20000.00,2068.19,243.24,0.00,12.00
C10690,879.19,1.00,45.65,45.65,0.00,1246.22,0.08,0.08,0.00,0.17,2.00,1.00,1200.00,1589.98,439.87,0.10,12.00
C10691,2331.38,1.00,1919.66,1310.90,608.76,0.00,0.92,0.42,0.75,0.00,0.00,34.00,6000.00,6725.48,609.16,0.00,12.00
C10692,27.21,0.82,685.08,220.00,465.08,0.00,0.58,0.25,0.50,0.00,0.00,24.00,13000.00,798.05,66.97,0.25,12.00
C10693,1418.25,1.00,362.13,0.00,362.13,0.00,1.00,0.00,1.00,0.00,0.00,19.00,1200.00,496.11,15914.72,0.00,12.00
C10694,1.98,0.13,80.00,80.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00,1.00,1500.00,0.00,,0.00,8.00
C10695,331.59,1.00,3703.36,1653.98,2049.38,0.00,1.00,1.00,1.00,0.00,0.00,54.00,7500.00,3229.19,195.37,0.92,12.00
C10696,10359.45,1.00,12650.00,12650.00,0.00,2781.68,0.25,0.25,0.00,0.17,2.00,10.00,10500.00,7566.47,9170.43,0.00,12.00
C10697,2144.48,1.00,228.35,228.35,0.00,1908.66,0.33,0.33,0.00,0.08,1.00,7.00,4000.00,2520.72,507.94,0.00,12.00
C10698,2927.08,0.90,0.00,0.00,0.00,3987.82,0.00,0.00,0.00,0.30,5.00,0.00,4000.00,862.79,1178.43,0.00,10.00
C10699,654.75,1.00,1969.24,567.47,1401.77,0.00,0.92,0.25,0.92,0.00,0.00,30.00,12000.00,2011.78,219.07,0.00,12.00
C10700,1162.77,1.00,533.36,0.00,533.36,19.29,0.67,0.00,0.58,0.08,1.00,8.00,1200.00,632.23,1395.58,0.00,12.00
C10701,4094.43,1.00,0.00,0.00,0.00,1618.33,0.00,0.00,0.00,0.50,8.00,0.00,7500.00,1070.60,1441.15,0.00,12.00
C10702,278.14,1.00,1901.94,367.00,1534.94,0.00,1.00,0.17,1.00,0.00,0.00,34.00,4500.00,1624.24,168.94,0.00,12.00
C10703,5941.85,1.00,0.00,0.00,0.00,744.14,0.00,0.00,0.00,0.17,2.00,0.00,7000.00,1756.83,2166.20,0.00,12.00
C10704,983.34,1.00,5601.54,3073.82,2527.72,36.34,1.00,0.75,1.00,0.08,1.00,182.00,7500.00,4807.55,207.13,0.17,12.00
C10705,820.06,1.00,162.56,0.00,162.56,0.00,0.50,0.00,0.50,0.00,0.00,6.00,1000.00,215.69,7281.65,0.00,12.00
C10706,7025.76,1.00,66.32,66.32,0.00,8733.14,0.08,0.08,0.00,0.58,16.00,1.00,9000.00,9547.62,2385.43,0.00,12.00
C10707,1.41,0.20,19.90,0.00,19.90,0.00,0.20,0.00,0.10,0.00,0.00,2.00,6500.00,49.62,48.78,0.50,10.00
C10708,5656.07,1.00,362.36,362.36,0.00,7240.43,0.25,0.25,0.00,1.25,12.00,2.00,8000.00,683.42,2036.88,0.00,8.00
C10709,2705.59,1.00,818.02,326.02,492.00,2758.01,1.00,0.08,1.00,0.08,3.00,14.00,3000.00,4055.34,1002.63,0.08,12.00
C10710,235.29,1.00,1286.20,1286.20,0.00,0.00,1.00,1.00,0.00,0.00,0.00,24.00,4000.00,1272.43,218.01,0.00,12.00
C10711,3472.81,1.00,1800.00,0.00,1800.00,2642.85,1.00,0.00,1.00,0.08,7.00,12.00,6000.00,2214.37,4093.87,0.00,12.00
C10712,2892.14,1.00,0.00,0.00,0.00,129.38,0.00,0.00,0.00,0.33,5.00,0.00,3000.00,666.96,1066.06,0.00,12.00
C10713,145.97,0.82,1131.08,0.00,1131.08,0.00,0.58,0.00,0.50,0.00,0.00,25.00,18000.00,1317.55,481.45,0.25,12.00
C10714,1943.79,1.00,83.35,0.00,83.35,0.00,0.14,0.00,0.14,0.00,0.00,1.00,4000.00,290.35,276.46,0.00,7.00
C10715,2119.54,1.00,342.07,270.07,72.00,0.00,0.58,0.50,0.17,0.00,0.00,11.00,3000.00,3505.37,894.91,0.00,12.00
C10716,233.40,0.82,2025.00,2025.00,0.00,385.63,0.75,0.75,0.00,0.08,1.00,21.00,6000.00,2420.45,118.31,0.50,12.00
C10717,318.19,1.00,3548.64,2949.37,599.27,0.00,1.00,0.92,1.00,0.00,0.00,51.00,20000.00,3908.96,199.62,1.00,12.00
C10718,448.19,1.00,1687.29,1687.29,0.00,0.00,0.50,0.50,0.00,0.00,0.00,8.00,11500.00,1464.00,261.03,0.17,12.00
C10719,908.35,1.00,231.35,0.00,231.35,944.18,1.00,0.00,0.86,0.14,3.00,7.00,1000.00,161.98,930.12,0.00,7.00
C10720,546.84,1.00,2427.26,1587.34,839.92,0.00,1.00,1.00,1.00,0.00,0.00,30.00,5000.00,1747.70,176.21,0.33,12.00
C10721,763.33,1.00,579.28,300.00,279.28,727.53,0.50,0.17,0.42,0.08,1.00,13.00,1200.00,635.87,220.69,0.00,12.00
C10722,1495.80,1.00,420.03,320.03,100.00,0.00,1.00,0.25,1.00,0.00,0.00,16.00,6600.00,1283.89,389.19,0.00,12.00
C10723,7006.75,1.00,328.92,328.92,0.00,9497.70,0.17,0.17,0.00,0.67,12.00,2.00,10000.00,659.56,1400.68,0.00,6.00
C10724,4414.95,1.00,419.64,0.00,419.64,0.00,1.00,0.00,1.00,0.00,0.00,12.00,4200.00,467.20,24302.10,0.00,12.00
C10725,255.05,1.00,3267.03,1439.07,1827.96,0.00,1.00,1.00,1.00,0.00,0.00,101.00,6000.00,2841.85,173.71,1.00,12.00
C10726,1167.05,1.00,294.13,65.00,229.13,0.00,0.92,0.08,0.83,0.00,0.00,12.00,1500.00,686.38,266.50,0.00,12.00
C10727,3063.02,1.00,0.00,0.00,0.00,3550.21,0.00,0.00,0.00,0.17,3.00,0.00,5500.00,757.54,891.06,0.00,12.00
C10728,1546.22,0.83,0.00,0.00,0.00,2196.11,0.00,0.00,0.00,0.17,5.00,0.00,3000.00,247.71,310.58,0.00,6.00
C10729,999.39,1.00,0.00,0.00,0.00,2368.25,0.00,0.00,0.00,0.33,10.00,0.00,1500.00,1724.18,301.35,0.10,12.00
C10730,3386.99,1.00,171.92,171.92,0.00,0.00,0.42,0.42,0.00,0.00,0.00,5.00,4500.00,907.87,912.27,0.00,12.00
C10731,963.57,1.00,2210.97,1741.30,469.67,0.00,1.00,1.00,0.42,0.00,0.00,50.00,9500.00,2946.75,345.15,0.00,12.00
C10732,454.58,1.00,1229.57,1229.57,0.00,0.00,0.42,0.42,0.00,0.00,0.00,16.00,2700.00,1125.50,192.98,0.00,12.00
C10733,2572.51,1.00,64.00,64.00,0.00,248.69,0.08,0.08,0.00,0.08,2.00,1.00,2800.00,373.43,3945.39,0.00,12.00
C10734,2596.60,1.00,0.00,0.00,0.00,1700.07,0.00,0.00,0.00,0.50,9.00,0.00,3000.00,1794.42,936.62,0.00,12.00
C10735,13763.47,1.00,9670.84,6701.08,2969.76,1896.20,1.00,0.75,1.00,0.17,2.00,88.00,17500.00,24199.11,3039.14,0.08,12.00
C10736,1861.03,1.00,7446.18,6376.98,1069.20,2817.03,1.00,1.00,1.00,0.25,5.00,82.00,10000.00,10274.93,528.24,0.33,12.00
C10737,5422.46,1.00,0.00,0.00,0.00,9972.23,0.00,0.00,0.00,0.17,2.00,0.00,14000.00,1661.69,1949.81,0.00,12.00
C10738,838.62,1.00,375.57,375.57,0.00,99.59,0.25,0.25,0.00,0.08,1.00,3.00,6000.00,779.06,179.43,0.00,12.00
C10739,446.74,1.00,5228.36,2337.44,2890.92,0.00,1.00,1.00,1.00,0.00,0.00,71.00,3000.00,4843.74,177.05,0.45,12.00
C10740,88.82,1.00,291.65,0.00,291.65,0.00,0.75,0.00,0.67,0.00,0.00,10.00,8000.00,341.38,209.32,0.08,12.00
C10741,821.92,0.86,1386.40,1386.40,0.00,0.00,0.29,0.29,0.00,0.00,0.00,3.00,1500.00,238.35,154.56,0.00,7.00
C10742,3714.54,1.00,1307.16,1307.16,0.00,4245.84,1.00,1.00,0.00,0.33,4.00,24.00,5000.00,1529.77,1212.95,0.00,12.00
C10743,7811.23,1.00,0.00,0.00,0.00,6372.11,0.00,0.00,0.00,0.33,8.00,0.00,16000.00,2322.06,1831.02,0.00,12.00
C10744,1024.76,1.00,77.99,77.99,0.00,0.00,0.17,0.17,0.00,0.00,0.00,2.00,1200.00,555.23,303.74,0.00,12.00
C10745,2386.93,1.00,861.79,181.81,679.98,457.70,0.33,0.17,0.17,0.08,1.00,7.00,6000.00,6532.69,634.39,0.08,12.00
C10746,15.49,1.00,65.00,65.00,0.00,0.00,0.08,0.08,0.00,0.00,0.00,1.00,3000.00,19.22,67.64,0.00,12.00
C10747,2643.88,0.82,798.34,277.00,521.34,3206.81,0.50,0.25,0.42,0.17,2.00,19.00,4500.00,728.06,769.63,0.00,12.00
C10748,4881.82,1.00,0.00,0.00,0.00,223.95,0.00,0.00,0.00,0.25,3.00,0.00,8500.00,1227.06,1208.46,0.00,12.00
C10749,1855.21,1.00,32.22,32.22,0.00,37.74,0.08,0.08,0.00,0.08,1.00,1.00,2000.00,349.58,695.50,0.00,12.00
C10750,13774.74,1.00,404.24,0.00,404.24,3369.47,0.25,0.00,0.25,0.50,7.00,3.00,14500.00,3167.87,3533.46,0.00,12.00
C10751,251.15,0.36,0.00,0.00,0.00,1084.81,0.00,0.00,0.00,0.17,4.00,0.00,1200.00,3597.14,308.40,0.33,12.00
C10752,1355.18,0.91,8820.67,2549.65,6271.02,0.00,0.75,0.58,0.58,0.00,0.00,37.00,6500.00,3609.32,416.41,0.00,12.00
C10753,6713.55,1.00,7590.08,7403.57,186.51,1596.57,0.67,0.67,0.17,0.17,4.00,81.00,10000.00,2344.43,4676.63,0.00,12.00
C10754,2398.26,1.00,0.00,0.00,0.00,722.36,0.00,0.00,0.00,0.42,8.00,0.00,6000.00,738.31,879.04,0.00,12.00
C10755,1433.86,1.00,1613.74,800.87,812.87,0.00,1.00,0.42,0.83,0.00,0.00,37.00,1500.00,1361.68,1854.08,0.00,12.00
C10756,142.41,1.00,1214.74,574.33,640.41,0.00,1.00,0.33,1.00,0.00,0.00,48.00,11000.00,941.92,180.40,0.75,12.00
C10757,660.40,1.00,776.89,698.99,77.90,0.00,0.17,0.08,0.08,0.00,0.00,2.00,1500.00,487.29,215.01,0.00,12.00
C10758,4834.59,1.00,0.00,0.00,0.00,56.75,0.00,0.00,0.00,0.10,1.00,0.00,5500.00,874.37,1582.52,0.00,10.00
C10759,2571.28,1.00,0.00,0.00,0.00,259.61,0.00,0.00,0.00,0.42,7.00,0.00,2750.00,750.53,883.25,0.00,12.00
C10760,492.92,1.00,4371.82,2765.16,1606.66,0.00,1.00,0.92,1.00,0.00,0.00,97.00,20000.00,3603.23,207.89,0.58,12.00
C10761,2752.15,1.00,1648.53,618.55,1029.98,2146.51,1.00,0.33,1.00,0.25,4.00,46.00,6500.00,1427.73,1342.19,0.00,12.00
C10762,7715.66,1.00,0.00,0.00,0.00,6182.98,0.00,0.00,0.00,1.00,62.00,0.00,11500.00,1777.00,2412.54,0.00,12.00
